index_code,con_code,trade_date,weight
000016.SH,600519.SH,20250930,9.856
000016.SH,601318.SH,20250930,6.445
000016.SH,600036.SH,20250930,5.435
000016.SH,601899.SH,20250930,5.269
000016.SH,600900.SH,20250930,3.623
000016.SH,601166.SH,20250930,3.585
000016.SH,600276.SH,20250930,3.472
000016.SH,600030.SH,20250930,3.171
000016.SH,603259.SH,20250930,3.045
000016.SH,688981.SH,20250930,3.028
000016.SH,688256.SH,20250930,3.005
000016.SH,601398.SH,20250930,2.78
000016.SH,688041.SH,20250930,2.552
000016.SH,601211.SH,20250930,2.317
000016.SH,601288.SH,20250930,2.314
000016.SH,601328.SH,20250930,1.948
000016.SH,688008.SH,20250930,1.926
000016.SH,600887.SH,20250930,1.875
000016.SH,600150.SH,20250930,1.698
000016.SH,601816.SH,20250930,1.636
000016.SH,601127.SH,20250930,1.523
000016.SH,600031.SH,20250930,1.498
000016.SH,688012.SH,20250930,1.421
000016.SH,603501.SH,20250930,1.399
000016.SH,601088.SH,20250930,1.38
000016.SH,600309.SH,20250930,1.363
000016.SH,601601.SH,20250930,1.306
000016.SH,601668.SH,20250930,1.224
000016.SH,603993.SH,20250930,1.199
000016.SH,601012.SH,20250930,1.186
000016.SH,601728.SH,20250930,1.124
000016.SH,600690.SH,20250930,1.033
000016.SH,600809.SH,20250930,1.029
000016.SH,600941.SH,20250930,1.027
000016.SH,600406.SH,20250930,1.002
000016.SH,601857.SH,20250930,0.993
000016.SH,601766.SH,20250930,0.987
000016.SH,601919.SH,20250930,0.982
000016.SH,600050.SH,20250930,0.934
000016.SH,600760.SH,20250930,0.86
000016.SH,601225.SH,20250930,0.843
000016.SH,600028.SH,20250930,0.838
000016.SH,601988.SH,20250930,0.806
000016.SH,688111.SH,20250930,0.796
000016.SH,601985.SH,20250930,0.779
000016.SH,601888.SH,20250930,0.759
000016.SH,601628.SH,20250930,0.718
000016.SH,601600.SH,20250930,0.71
000016.SH,601658.SH,20250930,0.689
000016.SH,600048.SH,20250930,0.613
